rate_br,rate_cl,rate_mx,rate_cz,rate_po,rate_ch,rate_in,rate_sk,rate_co,rate_hu,rate_tu,rate_is,rate_sa,rate_ma,rate_ph,rate_th,rate_tw,rate_pe,rate_id
103484.21,,,,,6.0,10.0,,,17.0,26.87,,18.0,,,,,,
78163.73,,,,,6.0,10.0,,,17.0,26.87,,18.0,,,,,,
77869.64,,,,,6.0,10.0,,,17.0,26.87,,18.0,,,,,,
28698.83,,,,,6.0,10.0,,,17.0,26.87,,18.0,,,,,,
28899.77,,,,,6.0,10.0,,,17.0,26.87,,18.0,,,,,,
28899.77,,,,,6.0,10.0,,,17.0,26.87,,18.0,,,,,,
28899.77,,,,,6.0,10.0,,,17.0,26.87,,18.0,,,,,,
29005.72,,,,,6.0,10.0,,,17.0,26.87,,18.0,,,,,,
28913.5,,,,,6.0,10.0,,,17.0,26.87,,18.0,,,,,,
28522.46,,,,,6.0,10.0,,,17.0,26.87,,18.0,,,,,,
29007.65,,,,,6.0,10.0,,,17.0,26.87,,18.0,,,,,,
30500.48,,,,,6.0,10.0,,,17.0,26.87,,18.0,,,,,,
30500.48,,,,,6.0,10.0,,,17.0,26.87,,18.0,,,,,,
30500.48,,,,,6.0,10.0,,,17.0,26.87,,18.0,,,,,,
33097.19,,,,,6.0,10.0,,,17.0,26.87,,18.0,,,,,,
20487.2,,,,,6.0,10.0,,,17.0,26.87,,18.0,,,,,,
20469.12,,,,,6.0,10.0,,,17.0,26.87,,18.0,,,,,,
20747.67,,,,,6.0,10.0,,,17.0,26.87,,18.0,,,,,,
21879.18,,,,,6.0,10.0,,,17.0,26.87,,18.0,,,,,,
21879.18,,,,,6.0,10.0,,,17.0,26.87,,18.0,,,,,,
21879.18,,,,,6.0,10.0,,,17.0,26.87,,18.0,,,,,,
28796.21,,,,,6.0,10.0,,,17.0,26.87,,18.0,,,,,,
32934.41,,,,,6.0,10.0,,,17.0,26.87,,18.0,,,,,,
38986.5,,,,,6.0,10.0,,,17.0,26.87,,18.0,,,,,,
46522.66,,,,,6.0,10.0,,,17.0,26.87,,18.0,,,,,,
54916.14,,,,,6.0,10.0,,,17.0,26.87,,18.0,,,,,,
54916.14,,,,,6.0,10.0,,,17.0,26.87,,18.0,,,,,,
54916.14,,,,,6.0,10.0,,,17.0,26.87,,18.0,,,,,,
64707.23,,,,,6.0,10.0,,,17.0,26.87,,18.0,,,,,,
76734.19,,,,,6.0,10.0,,,17.0,26.87,,18.0,,,,,,
97138.29,,,,,6.0,10.0,,,17.0,32.0,,18.0,,,,,,13.2
141597.24,,,,,6.0,10.0,,,17.0,32.0,,18.0,,,,,,13.2
179416.66,,,,,6.0,10.0,,,17.0,32.0,,18.0,,,,,,13.2
179416.66,,,,,6.0,10.0,,,17.0,32.0,,18.0,,,,,,13.2
179416.66,,,,,6.0,10.0,,,17.0,32.0,,18.0,,,,,,13.2
237117.57,,,,,6.0,10.0,,,17.0,32.0,,18.0,,,,,,13.2
331361.3,,,,,6.0,10.0,,,17.0,32.0,,18.0,,,,,,13.2
388631.21,,,,,6.0,10.0,,,17.0,32.0,,18.0,,,,,,13.2
406404.51,,,,,6.0,10.0,,,17.0,32.0,,18.0,,,,,,13.2
428453.98,,,,,6.0,10.0,,,17.0,32.0,,18.0,,,,,,13.2
428453.98,,,,,6.0,10.0,,,17.0,32.0,,18.0,,,,,,13.2
428453.98,,,,,6.0,10.0,,,17.0,32.0,,18.0,,,,,,13.2
445861.06,,,,,6.0,10.0,,,17.0,32.0,,18.0,,,,,,13.2
568882.44,,,,,6.0,10.0,,,17.0,32.0,,18.0,,,,,,13.2
610507.74,,,,,6.0,10.0,,,17.0,32.0,,18.0,,,,,,13.2
671306.9,,,,,6.0,10.0,,,17.0,32.0,,18.0,,,,,,13.2
720975.8,,,,,6.0,10.0,,,17.0,32.0,,18.0,,,,,,13.2
720975.8,,,,,6.0,10.0,,,17.0,32.0,,18.0,,,,,,13.2
720975.8,,,,,6.0,10.0,,,17.0,32.0,,18.0,,,,,,13.2
790799.14,,,,,6.0,10.0,,,17.0,32.0,,18.0,,,,,,13.2
788239.49,,,,,6.0,10.0,,,17.0,32.0,,18.0,,,,,,13.2
747772.37,,,,,6.0,10.0,,,17.0,32.0,,18.0,,,,,,13.2
613487.79,,,,,6.0,10.0,,,17.0,32.0,,18.0,,,,,,13.2
355085.64,,,,,6.0,10.0,,,17.0,32.0,,18.0,,,,,,13.2
355085.64,,,,,6.0,10.0,,,17.0,32.0,,18.0,,,,,,13.2
355085.64,,,,,6.0,10.0,,,17.0,32.0,,18.0,,,,,,13.2
355085.64,,,,,6.0,10.0,,,17.0,32.0,,18.0,,,,,,13.2
355085.64,,,,,6.0,10.0,,,17.0,32.0,,18.0,,,,,,13.2
355085.64,,,,,6.0,10.0,,,17.0,42.41,,18.0,,,,,,13.13
135155.75,,,,,6.0,10.0,,,17.0,42.41,,18.0,,,,,,13.13
134824.92,,,,,6.0,10.0,,,17.0,42.41,,18.0,,,,,,13.13
134824.92,,,,,6.0,10.0,,,17.0,42.41,,18.0,,,,,,13.13
134824.92,,,,,6.0,10.0,,,17.0,42.41,,18.0,,,,,,13.13
135931.04,,,,,6.0,10.0,,,17.0,42.41,,18.0,,,,,,13.13
132965.61,,,,,6.0,10.0,,,17.0,42.41,,18.0,,,,,,13.13
126707.68,,,,,6.0,10.0,,,17.0,42.41,,18.0,,,,,,13.13
118785.32,,,,,6.0,10.0,,,17.0,42.41,,18.0,,,,,,13.13
109908.5,,,,,6.0,10.0,,,17.0,42.41,,18.0,,,,,,13.13
109908.5,,,,,6.0,10.0,,,17.0,42.41,,18.0,,,,,,13.13
109908.5,,,,,6.0,10.0,,,17.0,42.41,,18.0,,,,,,13.13
100781.23,,,,,6.0,10.0,,,17.0,42.41,,18.0,,,,,,13.13
93779.61,,,,,6.0,10.0,,,17.0,42.41,,18.0,,,,,,13.13
93779.61,,,,,6.0,10.0,,,17.0,42.41,,18.0,,,,,,13.13
93779.61,,,,,6.0,10.0,,,17.0,42.41,,18.0,,,,,,13.13
93779.61,,,,,6.0,10.0,,,17.0,42.41,,18.0,,,,,,13.13
93779.61,,,,,6.0,10.0,,,17.0,42.41,,18.0,,,,,,13.13
93779.61,,,,,6.0,10.0,,,17.0,42.41,,18.0,,,,,,13.13
351.91,,,,,6.0,10.0,,,17.0,42.41,,18.0,,,,,,13.13
351.53,,,,,6.0,10.0,,,17.0,42.41,,18.0,,,,,,13.13
351.53,,,,,6.0,10.0,,,17.0,42.41,,18.0,,,,,,13.13
351.15,,,,,6.0,10.0,,,17.0,42.41,,18.0,,,,,,13.13
351.15,,,,,6.0,10.0,,,17.0,42.41,,18.0,,,,,,13.13
351.15,,,,,6.0,10.0,,,17.0,42.41,,18.0,,,,,,13.13
351.15,,,,,6.0,10.0,,,17.0,42.41,,18.0,,,,,,13.13
