,decision_date_co,curr_change_co,category_co
0,2001-01-18,-0.5997334517992003,appreciation
1,2001-02-16,0.0,hold
2,2001-03-09,0.0,hold
3,2001-04-20,0.0,hold
4,2001-05-11,0.0,hold
5,2001-06-14,0.4201406273809827,depreciation
6,2001-07-13,0.0,hold
7,2001-07-27,0.0,hold
8,2001-08-16,0.04598204510619652,hold
9,2001-09-14,0.0,hold
10,2001-10-12,0.0,hold
11,2001-11-09,0.0,hold
12,2001-12-14,0.0,hold
13,2002-01-18,0.0,hold
14,2002-02-18,0.3194049442135194,depreciation
15,2002-03-15,0.0,hold
16,2002-04-12,0.0,hold
17,2002-05-17,0.0,hold
18,2002-06-14,0.0,hold
19,2002-07-19,0.0,hold
20,2002-08-16,0.0,hold
21,2002-10-18,0.0,hold
22,2003-02-14,0.0,hold
23,2003-03-14,0.0,hold
24,2003-04-28,-0.5199306759098743,appreciation
25,2003-05-16,0.0,hold
26,2003-06-20,0.0,hold
27,2003-07-25,0.0,hold
28,2003-08-15,0.0,hold
29,2003-09-12,0.0,hold
30,2003-10-24,0.0,hold
31,2003-11-14,0.0,hold
32,2003-12-19,0.0,hold
33,2004-01-23,0.0,hold
34,2004-02-20,0.0,hold
35,2004-03-19,0.0,hold
36,2004-04-23,0.0,hold
37,2004-05-14,0.0,hold
38,2004-06-18,0.0,hold
39,2004-07-23,0.0,hold
40,2004-08-20,0.0,hold
41,2004-09-17,0.0,hold
42,2004-10-22,0.0,hold
43,2004-11-19,0.0,hold
44,2004-12-17,0.0,hold
45,2005-01-21,0.0,hold
46,2005-02-18,0.0,hold
47,2005-03-18,0.0,hold
48,2005-04-22,0.0,hold
49,2005-05-20,0.0,hold
50,2005-06-10,0.0,hold
51,2005-07-22,0.0,hold
52,2005-08-19,0.0,hold
53,2005-09-16,0.0,hold
54,2005-10-28,0.0,hold
55,2005-12-16,0.0,hold
56,2006-01-27,0.0,hold
57,2006-02-17,0.0,hold
58,2006-03-17,0.0,hold
59,2006-04-28,0.0,hold
60,2006-05-26,0.0,hold
61,2006-06-20,0.4575990653295614,depreciation
62,2006-07-27,-0.8318515339178711,appreciation
63,2006-08-18,0.0,hold
64,2006-09-29,0.0,hold
65,2006-10-27,0.0,hold
66,2006-12-15,0.0,hold
67,2007-01-26,0.0,hold
68,2007-02-23,0.0,hold
69,2007-03-23,0.0,hold
70,2007-04-30,-0.9284387944579309,appreciation
71,2007-05-18,0.0,hold
72,2007-06-15,0.0,hold
73,2007-07-27,0.0,hold
74,2007-08-24,0.0,hold
75,2007-09-21,0.0,hold
76,2007-10-26,0.0,hold
77,2007-11-23,0.0,hold
78,2007-12-14,0.0,hold
79,2008-01-25,0.0,hold
80,2008-02-22,0.0,hold
81,2008-03-28,0.0,hold
82,2008-04-25,0.0,hold
83,2008-05-23,0.0,hold
84,2008-06-20,0.0,hold
85,2008-07-25,0.0,hold
86,2008-08-15,0.0,hold
87,2008-09-19,0.0,hold
88,2008-10-24,0.0,hold
89,2008-11-21,0.0,hold
90,2008-12-19,0.0,hold
91,2009-01-30,0.0,hold
92,2009-02-27,0.0,hold
93,2009-03-20,0.0,hold
94,2009-04-30,0.02180644598543946,hold
95,2009-05-29,0.0,hold
96,2009-06-19,0.0,hold
97,2009-07-24,0.0,hold
98,2009-08-28,0.0,hold
99,2009-09-25,0.0,hold
100,2009-10-23,0.0,hold
101,2009-11-23,0.35324015247777396,depreciation
102,2009-12-18,0.0,hold
103,2010-01-29,0.0,hold
104,2010-02-26,0.0,hold
105,2010-03-26,0.0,hold
106,2010-04-30,0.0,hold
107,2010-05-27,0.14880650076181112,hold
108,2010-06-18,0.0,hold
109,2010-07-23,0.0,hold
110,2010-08-20,0.0,hold
111,2010-10-29,0.0,hold
112,2010-11-19,0.0,hold
113,2010-12-17,0.0,hold
114,2011-01-31,-0.45527584359935647,appreciation
115,2011-02-25,0.0,hold
116,2011-03-18,0.0,hold
117,2011-04-29,0.0,hold
118,2011-05-30,-0.9980646944982019,appreciation
119,2011-06-17,0.0,hold
120,2011-07-29,0.0,hold
121,2011-08-19,0.0,hold
122,2011-09-30,0.0,hold
123,2011-10-28,0.0,hold
124,2011-11-25,0.0,hold
125,2011-12-16,0.0,hold
126,2012-01-30,-0.9435106089831891,appreciation
127,2012-02-24,0.0,hold
128,2012-03-23,0.0,hold
129,2012-04-30,-0.3274268104776601,appreciation
130,2012-05-02,-0.17050298380221207,hold
131,2012-05-28,-0.19261285909712988,hold
132,2012-06-29,0.0,hold
133,2012-07-27,0.0,hold
134,2012-08-24,0.0,hold
135,2012-09-28,0.0,hold
136,2012-10-26,0.0,hold
137,2012-11-23,0.0,hold
138,2012-12-21,0.0,hold
139,2013-01-28,0.042774969888670356,hold
140,2013-02-22,0.0,hold
141,2013-03-22,0.0,hold
142,2013-04-26,0.0,hold
143,2013-05-31,0.0,hold
144,2013-06-28,0.0,hold
145,2013-07-26,0.0,hold
146,2013-08-30,0.0,hold
147,2013-09-27,0.0,hold
148,2013-10-25,0.0,hold
149,2013-11-29,0.0,hold
150,2013-12-20,0.0,hold
151,2014-01-31,0.0,hold
152,2014-02-28,0.0,hold
153,2014-03-21,0.0,hold
154,2014-04-25,0.0,hold
155,2014-05-30,0.0,hold
156,2014-06-20,0.0,hold
157,2014-07-31,0.0,hold
158,2014-08-29,0.0,hold
159,2014-09-26,0.0,hold
160,2014-10-30,0.37070458259151895,depreciation
161,2014-11-28,0.0,hold
162,2014-12-19,0.0,hold
163,2015-01-30,0.0,hold
164,2015-02-20,0.0,hold
165,2015-03-20,0.0,hold
166,2015-04-24,0.0,hold
167,2015-05-22,0.0,hold
168,2015-06-24,0.7412346372200451,depreciation
169,2015-07-31,0.0,hold
170,2015-08-21,0.0,hold
171,2015-09-25,0.0,hold
172,2015-10-30,0.0,hold
173,2015-11-27,0.0,hold
174,2015-12-18,0.0,hold
175,2016-01-29,0.0,hold
176,2016-02-19,0.0,hold
177,2016-03-18,0.0,hold
178,2016-04-29,0.0,hold
179,2016-05-27,0.0,hold
180,2016-06-22,1.8034836521828579,depreciation
181,2016-07-29,0.0,hold
182,2016-08-31,-0.5969506388448509,appreciation
183,2016-09-30,0.0,hold
184,2016-10-28,0.0,hold
185,2016-11-25,0.0,hold
186,2016-12-16,0.0,hold
187,2017-01-27,0.0,hold
188,2017-02-24,0.0,hold
189,2017-03-24,0.0,hold
190,2017-04-28,0.0,hold
191,2017-05-26,0.0,hold
192,2017-06-30,0.0,hold
193,2017-07-27,-0.1025845989874763,hold
194,2017-08-31,-0.6814396727461536,appreciation
195,2017-09-29,0.0,hold
196,2017-10-27,0.0,hold
197,2017-11-24,0.0,hold
198,2017-12-14,-0.013346769080879728,hold
199,2018-01-29,-0.6952397681363021,appreciation
200,2018-03-20,-0.3668439920151201,appreciation
201,2018-04-27,0.0,hold
202,2018-06-29,0.0,hold
203,2018-07-27,0.0,hold
204,2018-09-28,0.0,hold
205,2018-10-26,0.0,hold
206,2018-12-21,0.0,hold
207,2019-01-31,-0.5336337302864425,appreciation
208,2019-03-22,0.0,hold
209,2019-04-26,0.0,hold
210,2019-06-21,0.0,hold
211,2019-07-26,0.0,hold
212,2019-09-23,-0.15944137329065855,hold
213,2019-10-31,-1.5934074063114978,appreciation
214,2019-12-20,0.0,hold
215,2020-01-31,0.0,hold
216,2020-03-27,0.0,hold
217,2020-04-30,0.0,hold
218,2020-05-29,0.0,hold
219,2020-06-30,-3.059011376488585,appreciation
220,2020-07-31,0.0,hold
221,2020-08-31,-2.2934431049691173,appreciation
222,2020-09-25,0.0,hold
223,2020-10-30,0.0,hold
224,2020-11-27,0.0,hold
225,2020-12-18,0.0,hold
226,2021-01-29,0.0,hold
227,2021-03-26,0.0,hold
228,2021-04-30,0.0,hold
229,2021-06-28,1.1755982473879323,depreciation
230,2021-07-30,0.0,hold
231,2021-12-17,0.0,hold
232,2022-01-28,0.0,hold
233,2022-03-31,-0.4346269606608333,appreciation
234,2022-04-29,0.0,hold
235,2022-06-30,1.0416090067411066,depreciation
236,2022-07-29,0.0,hold
237,2022-09-29,1.727856050255272,depreciation
238,2022-10-28,0.0,hold
239,2022-12-16,0.0,hold
240,2023-01-27,0.0,hold
241,2023-03-30,0.0,hold
242,2023-04-28,0.0,hold
243,2023-05-03,-2.952480632790866,appreciation
244,2023-06-30,0.0,hold
245,2023-07-06,-0.7972036987959674,appreciation
246,2023-07-31,4.2621813322368585,depreciation
247,2023-08-03,-2.1829774436090243,appreciation
248,2023-09-29,0.0,hold
249,2023-10-04,1.7623263176408388,depreciation
250,2023-10-31,-1.766098197487409,appreciation
251,2023-11-03,0.0,hold
252,2023-12-19,0.33009338669716115,depreciation
253,2023-12-22,0.0,hold
254,2024-01-31,0.5338578252318094,depreciation
255,2024-02-05,-0.20672668463340704,hold
256,2024-03-22,0.0,hold
257,2024-04-01,-1.3257492437044438,appreciation
258,2024-04-30,-0.3704487992305272,appreciation
259,2024-05-06,0.08239113974410905,hold
260,2024-06-28,0.0,hold
261,2024-07-04,-0.24332622309867213,hold
262,2024-07-31,1.6757302098968863,depreciation
263,2024-08-05,-0.40851678094550037,appreciation
264,2024-09-30,-0.5652618317525948,appreciation
265,2024-10-03,-0.5291952081350138,appreciation
