start,end,rate,hs_prefix,country,
04/02/2025,31/12/9999,0.1,*,CHN,
18/02/2025,31/12/9999,0.25,72,*,
18/02/2025,31/12/9999,0.25,73,*,
18/02/2025,31/12/9999,0.25,76,*,
10/03/2025,31/12/9999,0.25,8703,*,
09/04/2025,31/12/9999,0.1,*,*,
09/04/2025,31/12/9999,0.3,*,DZA,
09/04/2025,31/12/9999,0.32,*,AGO,
09/04/2025,31/12/9999,0.37,*,BGD,
09/04/2025,31/12/9999,0.35,*,BIH,
09/04/2025,31/12/9999,0.37,*,BWA,
09/04/2025,31/12/9999,0.24,*,BRN,
09/04/2025,31/12/9999,0.49,*,KHM,
09/04/2025,31/12/9999,0.11,*,CMR,
09/04/2025,31/12/9999,0.13,*,TCD,
09/04/2025,31/12/9999,0.34,*,CHN,
09/04/2025,31/12/9999,0.21,*,CIV,
09/04/2025,31/12/9999,0.11,*,COD,
09/04/2025,31/12/9999,0.13,*,GNQ,
09/04/2025,31/12/9999,0.2,*,EU,
09/04/2025,31/12/9999,0.41,*,FLK,
09/04/2025,31/12/9999,0.32,*,FJI,
09/04/2025,31/12/9999,0.38,*,GUY,
09/04/2025,31/12/9999,0.26,*,IND,
09/04/2025,31/12/9999,0.32,*,IDN,
09/04/2025,31/12/9999,0.39,*,IRQ,
09/04/2025,31/12/9999,0.17,*,ISR,
09/04/2025,31/12/9999,0.24,*,JPN,
09/04/2025,31/12/9999,0.2,*,JOR,
09/04/2025,31/12/9999,0.27,*,KAZ,
09/04/2025,31/12/9999,0.48,*,LAO,
09/04/2025,31/12/9999,0.5,*,LSO,
09/04/2025,31/12/9999,0.31,*,LBY,
09/04/2025,31/12/9999,0.37,*,LIE,
09/04/2025,31/12/9999,0.47,*,MDG,
09/04/2025,31/12/9999,0.17,*,MWI,
09/04/2025,31/12/9999,0.24,*,MYS,
09/04/2025,31/12/9999,0.4,*,MUS,
09/04/2025,31/12/9999,0.31,*,MDA,
09/04/2025,31/12/9999,0.16,*,MOZ,
09/04/2025,31/12/9999,0.44,*,MMR,
09/04/2025,31/12/9999,0.21,*,NAM,
09/04/2025,31/12/9999,0.3,*,NRU,
09/04/2025,31/12/9999,0.18,*,NIC,
09/04/2025,31/12/9999,0.14,*,NGA,
09/04/2025,31/12/9999,0.33,*,MKD,
09/04/2025,31/12/9999,0.15,*,NOR,
09/04/2025,31/12/9999,0.29,*,PAK,
09/04/2025,31/12/9999,0.17,*,PHL,
09/04/2025,31/12/9999,0.37,*,SRB,
09/04/2025,31/12/9999,0.3,*,ZAF,
09/04/2025,31/12/9999,0.25,*,KOR,
09/04/2025,31/12/9999,0.44,*,LKA,
09/04/2025,31/12/9999,0.31,*,CHE,
09/04/2025,31/12/9999,0.41,*,SYR,
09/04/2025,31/12/9999,0.32,*,TWN,
09/04/2025,31/12/9999,0.36,*,THA,
09/04/2025,31/12/9999,0.28,*,TUN,
09/04/2025,31/12/9999,0.22,*,VUT,
09/04/2025,31/12/9999,0.15,*,VEN,
09/04/2025,31/12/9999,0.46,*,VNM,
09/04/2025,31/12/9999,0.17,*,ZMB,
09/04/2025,31/12/9999,0.18,*,ZWE,
09/04/2025,31/12/9999,0.3,*,DZA,
09/04/2025,31/12/9999,0.32,*,AGO,
09/04/2025,31/12/9999,0.37,*,BGD,
09/04/2025,31/12/9999,0.35,*,BIH,
09/04/2025,31/12/9999,0.37,*,BWA,
09/04/2025,31/12/9999,0.24,*,BRN,
09/04/2025,31/12/9999,0.49,*,KHM,
09/04/2025,31/12/9999,0.11,*,CMR,
09/04/2025,31/12/9999,0.13,*,TCD,
09/04/2025,31/12/9999,0.21,*,CIV,
09/04/2025,31/12/9999,0.11,*,COD,
09/04/2025,31/12/9999,0.13,*,GNQ,
09/04/2025,31/12/9999,0.2,*,EU,
09/04/2025,31/12/9999,0.41,*,FLK,
09/04/2025,31/12/9999,0.32,*,FJI,
09/04/2025,31/12/9999,0.38,*,GUY,
09/04/2025,31/12/9999,0.26,*,IND,
09/04/2025,31/12/9999,0.32,*,IDN,
09/04/2025,31/12/9999,0.39,*,IRQ,
09/04/2025,31/12/9999,0.17,*,ISR,
09/04/2025,31/12/9999,0.24,*,JPN,
09/04/2025,31/12/9999,0.2,*,JOR,
09/04/2025,31/12/9999,0.27,*,KAZ,
09/04/2025,31/12/9999,0.48,*,LAO,
09/04/2025,31/12/9999,0.5,*,LSO,
09/04/2025,31/12/9999,0.31,*,LBY,
09/04/2025,31/12/9999,0.37,*,LIE,
09/04/2025,31/12/9999,0.47,*,MDG,
09/04/2025,31/12/9999,0.17,*,MWI,
09/04/2025,31/12/9999,0.24,*,MYS,
09/04/2025,31/12/9999,0.4,*,MUS,
09/04/2025,31/12/9999,0.31,*,MDA,
09/04/2025,31/12/9999,0.16,*,MOZ,
09/04/2025,31/12/9999,0.44,*,MMR,
09/04/2025,31/12/9999,0.21,*,NAM,
09/04/2025,31/12/9999,0.3,*,NRU,
09/04/2025,31/12/9999,0.18,*,NIC,
09/04/2025,31/12/9999,0.14,*,NGA,
09/04/2025,31/12/9999,0.33,*,MKD,
09/04/2025,31/12/9999,0.15,*,NOR,
09/04/2025,31/12/9999,0.29,*,PAK,
