Date,Filename,vader_sentiment,tfidf_sentiment
1970-05-31,200570.txt,2.7355,5.076746178845228
1970-06-30,170670.txt,9.997,4.806041738216704
1970-07-31,150770.txt,9.9775,5.132285256422041
1970-08-31,120870.txt,9.992,6.024988287592254
1970-09-30,090970.txt,9.999500000000001,6.155157329668371
1970-10-31,141070.txt,9.9955,7.002338187787978
1970-11-30,111170.txt,9.997,5.488004097539865
1970-12-31,091270.txt,9.999,5.46026862518076
1971-01-31,120171.txt,9.999500000000001,6.399163824190465
1971-02-28,030271.txt,9.997,6.791427925479168
1971-03-31,090371.txt,9.999,6.315847811504451
1971-04-30,060471.txt,9.999,6.828396617675137
1971-05-31,050571.txt,10.0,7.673287856385738
1971-06-30,230671.txt,9.999500000000001,7.236483265216039
1971-07-31,210771.txt,9.999500000000001,6.91282514039087
1971-08-31,180871.txt,9.999500000000001,6.5873762138710354
1971-09-30,150971.txt,10.0,7.48034382012601
1971-10-31,131071.txt,9.999500000000001,7.6943614914545275
1971-11-30,101171.txt,9.999500000000001,6.586784007587203
1971-12-31,081271.txt,10.0,6.678609913813558
1972-02-29,090272.txt,10.0,6.867398014728662
1972-03-31,150372.txt,10.0,7.910868594999914
1972-04-30,120472.txt,10.0,7.261604497571175
1972-05-31,170572.txt,10.0,7.930667580057838
1972-06-30,140672.txt,10.0,8.173688064980901
1972-07-31,180772.txt,10.0,8.165917634687531
1972-08-31,090872.txt,10.0,7.950487194455735
1972-09-30,130972.txt,10.0,7.2562720896165365
1972-10-31,111072.txt,10.0,8.097449894988191
1972-11-30,141172.txt,10.0,8.409945108883743
1972-12-31,191272.txt,10.0,7.784728882683759
1973-01-31,100173.txt,9.999500000000001,8.027205112769032
1973-02-28,070273.txt,9.999500000000001,7.651181858441533
1973-03-31,140373.txt,9.999500000000001,6.9978534146054105
1973-04-30,110473.txt,9.999500000000001,6.71407571372826
1973-05-31,090573.txt,9.999500000000001,6.979058488156629
1973-06-30,130673.txt,9.9985,6.042195667419681
1973-07-31,110773.txt,9.965499999999999,6.54800851603623
1973-08-31,100873.txt,9.999500000000001,7.1569316018109355
1973-09-30,120973.txt,9.999500000000001,6.1167750413442885
1973-10-31,101073.txt,9.999,6.4321879603939225
1973-11-30,141173.txt,9.998000000000001,5.067592271055318
1973-12-31,121273.txt,0.3365,4.592149605209759
1974-01-31,160174.txt,9.9945,5.375800948959147
1974-02-28,130274.txt,1.6829999999999998,5.970422446807882
1974-03-31,130374.txt,9.998000000000001,6.057834389156513
1974-04-30,100474.txt,9.9985,7.412478269242811
1974-05-31,150574.txt,9.999500000000001,7.071416253488849
1974-06-30,120674.txt,9.997,5.8366065882335825
1974-07-31,100774.txt,9.9975,6.113034153975727
1974-08-31,140874.txt,9.999,5.109781048651585
1974-09-30,050974.txt,9.993500000000001,5.696396397950534
1974-10-31,091074.txt,9.9985,5.1413991590861565
