Country,Tenor,Model_Type,Status,Train_RMSE,Train_R2,Test_RMSE,Test_R2,Is_Best_Model,Error
Poland,yld_2yr,mlp,Success - Advanced MLP Training,,,,,True,
Poland,yld_2yr,gbm,Success - Advanced GBM Training,,,,,False,
Poland,yld_2yr,gp,Failed - gp Training Error,,,,,False,Cross-validation training failed to produce a valid model
Poland,yld_5yr,mlp,Success - Advanced MLP Training,,,,,True,
Poland,yld_5yr,gbm,Success - Advanced GBM Training,,,,,False,
Poland,yld_5yr,gp,Failed - gp Training Error,,,,,False,Cross-validation training failed to produce a valid model
Poland,yld_10yr,mlp,Success - Advanced MLP Training,,,,,True,
Poland,yld_10yr,gbm,Success - Advanced GBM Training,,,,,False,
Poland,yld_10yr,gp,Failed - gp Training Error,,,,,False,Cross-validation training failed to produce a valid model
Poland,yld_30yr,mlp,Failed - Insufficient Data,,,,,False,No overlapping data between features and target
Poland,yld_30yr,gbm,Failed - Insufficient Data,,,,,False,No overlapping data between features and target
Poland,yld_30yr,gp,Failed - Insufficient Data,,,,,False,No overlapping data between features and target
