country,tenor,cutoff_date,forecast_start,forecast_end,forecast_periods,avg_growth_forecast,avg_inflation_forecast,growth_forecast_std,inflation_forecast_std,first_year_growth,first_year_inflation
United States,yld_2yr,1990-01-01,1990-02-01,1992-01-01,24,1.8311960475180828,3.381033557233751,2.426688018456704,4.868843941938249,3.9809275909246913,7.722408686351383
United States,yld_5yr,1990-01-01,1990-02-01,1995-01-01,60,4.9483805330375015,3.6182284103999156,3.8010153897712513,4.046560142005246,3.9809275909246913,7.722408686351383
United States,yld_10yr,1990-01-01,1990-02-01,2000-01-01,120,3.952640951870092,2.3825884073089987,3.5671288217998063,3.2585849829566773,3.9809275909246913,7.722408686351383
United States,yld_30yr,1990-01-01,1990-02-01,2020-01-01,360,3.8441069888419577,3.4301430085296527,2.9873460778345216,3.076240389564482,3.9809275909246913,7.722408686351383
United States,yld_2yr,1990-02-01,1990-03-01,1992-02-01,24,1.8311960475180828,3.381033557233751,2.426688018456704,4.868843941938249,3.9809275909246913,7.722408686351383
United States,yld_5yr,1990-02-01,1990-03-01,1995-02-01,60,4.9483805330375015,3.6182284103999156,3.8010153897712513,4.046560142005246,3.9809275909246913,7.722408686351383
United States,yld_10yr,1990-02-01,1990-03-01,2000-02-01,120,3.952640951870092,2.3825884073089987,3.5671288217998063,3.2585849829566773,3.9809275909246913,7.722408686351383
United States,yld_30yr,1990-02-01,1990-03-01,2020-02-01,360,3.8441069888419577,3.4301430085296527,2.9873460778345216,3.076240389564482,3.9809275909246913,7.722408686351383
United States,yld_2yr,1990-03-01,1990-04-01,1992-03-01,24,1.8311960475180828,3.381033557233751,2.426688018456704,4.868843941938249,3.9809275909246913,7.722408686351383
United States,yld_5yr,1990-03-01,1990-04-01,1995-03-01,60,4.9483805330375015,3.6182284103999156,3.8010153897712513,4.046560142005246,3.9809275909246913,7.722408686351383
United States,yld_10yr,1990-03-01,1990-04-01,2000-03-01,120,3.952640951870092,2.3825884073089987,3.5671288217998063,3.2585849829566773,3.9809275909246913,7.722408686351383
United States,yld_30yr,1990-03-01,1990-04-01,2020-03-01,360,3.8441069888419577,3.4301430085296527,2.9873460778345216,3.076240389564482,3.9809275909246913,7.722408686351383
United States,yld_2yr,1990-04-01,1990-05-01,1992-04-01,24,1.8311960475180828,3.381033557233751,2.426688018456704,4.868843941938249,3.9809275909246913,7.722408686351383
United States,yld_5yr,1990-04-01,1990-05-01,1995-04-01,60,4.9483805330375015,3.6182284103999156,3.8010153897712513,4.046560142005246,3.9809275909246913,7.722408686351383
United States,yld_10yr,1990-04-01,1990-05-01,2000-04-01,120,3.952640951870092,2.3825884073089987,3.5671288217998063,3.2585849829566773,3.9809275909246913,7.722408686351383
United States,yld_30yr,1990-04-01,1990-05-01,2020-04-01,360,3.8441069888419577,3.4301430085296527,2.9873460778345216,3.076240389564482,3.9809275909246913,7.722408686351383
United States,yld_2yr,1990-05-01,1990-06-01,1992-05-01,24,1.8311960475180828,3.381033557233751,2.426688018456704,4.868843941938249,3.9809275909246913,7.722408686351383
United States,yld_5yr,1990-05-01,1990-06-01,1995-05-01,60,4.9483805330375015,3.6182284103999156,3.8010153897712513,4.046560142005246,3.9809275909246913,7.722408686351383
United States,yld_10yr,1990-05-01,1990-06-01,2000-05-01,120,3.952640951870092,2.3825884073089987,3.5671288217998063,3.2585849829566773,3.9809275909246913,7.722408686351383
United States,yld_30yr,1990-05-01,1990-06-01,2020-05-01,360,3.8441069888419577,3.4301430085296527,2.9873460778345216,3.076240389564482,3.9809275909246913,7.722408686351383
United States,yld_2yr,1990-06-01,1990-07-01,1992-06-01,24,1.8311960475180828,3.381033557233751,2.426688018456704,4.868843941938249,3.9809275909246913,7.722408686351383
United States,yld_5yr,1990-06-01,1990-07-01,1995-06-01,60,4.9483805330375015,3.6182284103999156,3.8010153897712513,4.046560142005246,3.9809275909246913,7.722408686351383
United States,yld_10yr,1990-06-01,1990-07-01,2000-06-01,120,3.952640951870092,2.3825884073089987,3.5671288217998063,3.2585849829566773,3.9809275909246913,7.722408686351383
United States,yld_30yr,1990-06-01,1990-07-01,2020-06-01,360,3.8441069888419577,3.4301430085296527,2.9873460778345216,3.076240389564482,3.9809275909246913,7.722408686351383
United States,yld_2yr,1990-07-01,1990-08-01,1992-07-01,24,1.8311960475180828,3.381033557233751,2.426688018456704,4.868843941938249,3.9809275909246913,7.722408686351383
United States,yld_5yr,1990-07-01,1990-08-01,1995-07-01,60,4.9483805330375015,3.6182284103999156,3.8010153897712513,4.046560142005246,3.9809275909246913,7.722408686351383
