date,actual,predicted,residual,country,tenor,model_type
1999-11-01,6.568,6.677484088802311,-0.10948408880231142,Australia,yld_10yr,mlp
1999-12-01,6.75995652173913,6.484853013659213,0.27510350807991735,Australia,yld_10yr,mlp
2000-01-01,7.204761904761905,6.222143022438532,0.982618882323373,Australia,yld_10yr,mlp
2000-02-01,6.966857142857143,6.473921489101674,0.49293565375546944,Australia,yld_10yr,mlp
2000-03-01,6.567,6.295886739849027,0.27111326015097337,Australia,yld_10yr,mlp
2000-04-01,6.2832,6.425040981299074,-0.1418409812990742,Australia,yld_10yr,mlp
2000-05-01,6.481826086956522,6.532239580819613,-0.050413493863091574,Australia,yld_10yr,mlp
2000-06-01,6.184409090909091,6.477282988358208,-0.29287389744911696,Australia,yld_10yr,mlp
2000-07-01,6.176047619047619,6.437915890341342,-0.26186827129372325,Australia,yld_10yr,mlp
2000-08-01,6.2288695652173915,6.588132680711546,-0.35926311549415413,Australia,yld_10yr,mlp
2000-09-01,6.129714285714285,5.91653218455186,0.21318210116242486,Australia,yld_10yr,mlp
2000-10-01,6.135909090909092,5.922691679997509,0.2132174109115823,Australia,yld_10yr,mlp
2000-11-01,6.005772727272728,5.81642721673642,0.18934551053630777,Australia,yld_10yr,mlp
2000-12-01,5.540857142857143,5.801528534735422,-0.2606713918782795,Australia,yld_10yr,mlp
2001-01-01,5.431347826086956,5.761798409953803,-0.3304505838668472,Australia,yld_10yr,mlp
2001-02-01,5.362299999999999,5.63776246902983,-0.2754624690298302,Australia,yld_10yr,mlp
2001-03-01,5.153409090909091,5.414763601710096,-0.2613545108010049,Australia,yld_10yr,mlp
2001-04-01,5.604571428571428,5.263234869919915,0.3413365586515127,Australia,yld_10yr,mlp
2001-05-01,5.959913043478261,5.503071253269412,0.4568417902088493,Australia,yld_10yr,mlp
2001-06-01,5.918952380952381,5.795359777407251,0.1235926035451298,Australia,yld_10yr,mlp
2001-07-01,6.103681818181818,5.838625535463214,0.2650562827186045,Australia,yld_10yr,mlp
2001-08-01,5.778304347826087,5.8673428337919225,-0.08903848596583508,Australia,yld_10yr,mlp
2001-09-01,5.59615,5.873855221036014,-0.27770522103601447,Australia,yld_10yr,mlp
2001-10-01,5.417521739130435,5.535702847861165,-0.11818110873073007,Australia,yld_10yr,mlp
2001-11-01,5.476181818181818,5.630765591466419,-0.15458377328460138,Australia,yld_10yr,mlp
2001-12-01,5.86,5.500393226137209,0.35960677386279105,Australia,yld_10yr,mlp
2002-01-01,5.901130434782608,5.673464806566086,0.22766562821652236,Australia,yld_10yr,mlp
2002-02-01,5.9577,5.917469959532798,0.040230040467202244,Australia,yld_10yr,mlp
2002-03-01,6.324999999999999,5.862088661060897,0.46291133893910263,Australia,yld_10yr,mlp
2002-04-01,6.310363636363636,5.8909004488655,0.4194631874981365,Australia,yld_10yr,mlp
2002-05-01,6.237347826086957,6.113467989261108,0.12387983682584913,Australia,yld_10yr,mlp
2002-06-01,6.0995,6.351699579398085,-0.2521995793980851,Australia,yld_10yr,mlp
2002-07-01,5.958565217391304,5.901322342097366,0.057242875293938233,Australia,yld_10yr,mlp
2002-08-01,5.749818181818181,6.242310481927211,-0.49249230010902956,Australia,yld_10yr,mlp
2002-09-01,5.488809523809524,6.23012129527344,-0.7413117714639164,Australia,yld_10yr,mlp
2002-10-01,5.670869565217392,6.090465888256306,-0.41959632303891414,Australia,yld_10yr,mlp
2002-11-01,5.515666666666667,5.470357551778162,0.04530911488850542,Australia,yld_10yr,mlp
2002-12-01,5.377363636363636,5.501223063888943,-0.1238594275253071,Australia,yld_10yr,mlp
2003-01-01,5.271565217391304,5.626265768389011,-0.35470055099770725,Australia,yld_10yr,mlp
2003-02-01,5.16505,5.397995923382828,-0.23294592338282794,Australia,yld_10yr,mlp
2003-03-01,5.2876666666666665,5.355400721085913,-0.06773405441924663,Australia,yld_10yr,mlp
2003-04-01,5.351045454545455,5.492123114161243,-0.14107765961578878,Australia,yld_10yr,mlp
2003-05-01,5.040772727272728,5.522006619628408,-0.4812338923556805,Australia,yld_10yr,mlp
2003-06-01,4.8174761904761905,5.466891238382494,-0.6494150479063032,Australia,yld_10yr,mlp
2003-07-01,5.247695652173913,5.551031777679296,-0.3033361255053828,Australia,yld_10yr,mlp
2003-08-01,5.537476190476191,5.53170730158998,0.005768888886211521,Australia,yld_10yr,mlp
2003-09-01,5.527454545454545,5.464821428459496,0.06263311699504914,Australia,yld_10yr,mlp
2003-10-01,5.623913043478261,5.496409945180857,0.12750309829740392,Australia,yld_10yr,mlp
2003-11-01,5.88795,5.689904971633425,0.19804502836657534,Australia,yld_10yr,mlp
2003-12-01,5.765347826086957,5.893490419625831,-0.12814259353887358,Australia,yld_10yr,mlp
2004-01-01,5.709863636363637,5.882921419882699,-0.1730577835190621,Australia,yld_10yr,mlp
2004-02-01,5.6347499999999995,5.861216181792788,-0.2264661817927882,Australia,yld_10yr,mlp
2004-03-01,5.431347826086956,5.728528073672505,-0.2971802475855494,Australia,yld_10yr,mlp
