date,actual,predicted,residual,country,tenor,model_type
2007-03-01,3.8934761904761905,4.422977698309822,-0.5295015078336314,Czechia,yld_10yr,mlp
2007-04-01,4.130571428571429,4.452421478764447,-0.32185005019301816,Czechia,yld_10yr,mlp
2007-05-01,4.241782608695652,4.491238017755068,-0.24945540905941588,Czechia,yld_10yr,mlp
2007-06-01,4.596904761904762,4.561087433616907,0.035817328287854444,Czechia,yld_10yr,mlp
2007-07-01,4.6585,4.558233222040822,0.10026677795917838,Czechia,yld_10yr,mlp
2007-08-01,4.554695652173913,4.604196136921315,-0.04950048474740232,Czechia,yld_10yr,mlp
2007-09-01,4.60415,4.669360331375104,-0.06521033137510468,Czechia,yld_10yr,mlp
2007-10-01,4.565086956521739,4.735279183065545,-0.17019222654380606,Czechia,yld_10yr,mlp
2007-11-01,4.581681818181818,4.256381016497503,0.32530080168431486,Czechia,yld_10yr,mlp
2007-12-01,4.717095238095238,4.281578888398805,0.4355163496964334,Czechia,yld_10yr,mlp
2008-01-01,4.599869565217391,4.491007586594891,0.10886197862250047,Czechia,yld_10yr,mlp
2008-02-01,4.578809523809523,4.68985781969475,-0.1110482958852268,Czechia,yld_10yr,mlp
2008-03-01,4.706857142857142,4.976674947477405,-0.2698178046202626,Czechia,yld_10yr,mlp
2008-04-01,4.7638181818181815,4.057052030716286,0.7067661511018954,Czechia,yld_10yr,mlp
2008-05-01,4.8409545454545455,4.202487591931441,0.6384669535231042,Czechia,yld_10yr,mlp
2008-06-01,5.14852380952381,4.344177216951076,0.8043465925727338,Czechia,yld_10yr,mlp
2008-07-01,4.906826086956522,4.4197941335728785,0.48703195338364313,Czechia,yld_10yr,mlp
2008-08-01,4.488333333333333,4.457204225639045,0.031129107694288116,Czechia,yld_10yr,mlp
2008-09-01,4.436545454545454,4.312045853430367,0.12449960111508762,Czechia,yld_10yr,mlp
2008-10-01,4.5357391304347825,4.480308631144825,0.05543049928995725,Czechia,yld_10yr,mlp
2008-11-01,4.522,4.438389188871111,0.08361081112888957,Czechia,yld_10yr,mlp
2008-12-01,4.223391304347826,4.649077672579183,-0.4256863682313563,Czechia,yld_10yr,mlp
2009-01-01,4.146136363636364,4.733655401335049,-0.5875190376986854,Czechia,yld_10yr,mlp
2009-02-01,4.66615,4.713130630462065,-0.04698063046206524,Czechia,yld_10yr,mlp
2009-03-01,5.158818181818182,4.823496843107987,0.33532133871019454,Czechia,yld_10yr,mlp
2009-04-01,5.1755,4.691638540412417,0.4838614595875832,Czechia,yld_10yr,mlp
2009-05-01,5.038619047619048,4.630850023081011,0.40776902453803743,Czechia,yld_10yr,mlp
