date,actual,predicted,residual,country,tenor,model_type
1994-01-31,6.246238095238095,6.599283522420758,-0.3530454271826633,Germany,yld_30yr,mlp
1994-02-28,6.49855,6.514578821890038,-0.01602882189003818,Germany,yld_30yr,mlp
1994-03-31,6.895739130434783,6.671736197979633,0.22400293245515002,Germany,yld_30yr,mlp
1994-04-30,7.129428571428571,6.58772003789244,0.5417085335361307,Germany,yld_30yr,mlp
1994-05-31,7.319136363636363,6.744915083376215,0.5742212802601481,Germany,yld_30yr,mlp
1994-06-30,7.622,6.51883818354375,1.1031618164562502,Germany,yld_30yr,mlp
1994-07-31,7.428666666666667,6.667929783514774,0.7607368831518935,Germany,yld_30yr,mlp
1994-08-31,7.598869565217392,6.850327279007956,0.7485422862094353,Germany,yld_30yr,mlp
1994-09-30,7.968863636363636,6.942978532373805,1.0258851039898316,Germany,yld_30yr,mlp
1994-10-31,7.930571428571429,6.519385534152302,1.411185894419127,Germany,yld_30yr,mlp
1994-11-30,7.893454545454546,6.874001067590223,1.0194534778643227,Germany,yld_30yr,mlp
1994-12-31,7.842545454545455,7.271216310541431,0.5713291440040242,Germany,yld_30yr,mlp
1995-01-31,7.939863636363636,6.9632070841412,0.976656552222436,Germany,yld_30yr,mlp
1995-02-28,7.795,7.611162348636989,0.1838376513630111,Germany,yld_30yr,mlp
1995-03-31,7.722782608695652,7.581563775589903,0.14121883310574912,Germany,yld_30yr,mlp
1995-04-30,7.6934,7.463257412420006,0.2301425875799934,Germany,yld_30yr,mlp
1995-05-31,7.447956521739131,7.627642511970535,-0.17968599023140452,Germany,yld_30yr,mlp
1995-06-30,7.3565,7.591260559232357,-0.23476055923235783,Germany,yld_30yr,mlp
1995-07-31,7.450809523809524,7.256070375938969,0.19473914787055513,Germany,yld_30yr,mlp
1995-08-31,7.383,7.1510258968480045,0.23197410315199551,Germany,yld_30yr,mlp
1995-09-30,7.283380952380952,7.279414758329475,0.003966194051477245,Germany,yld_30yr,mlp
1995-10-31,7.310363636363636,7.310253593682033,0.00011004268160341724,Germany,yld_30yr,mlp
1995-11-30,7.102181818181818,7.308777621501722,-0.20659580331990401,Germany,yld_30yr,mlp
1995-12-31,6.846238095238096,7.121169469347958,-0.2749313741098618,Germany,yld_30yr,mlp
1996-01-31,6.686347826086957,6.824551431817748,-0.1382036057307916,Germany,yld_30yr,mlp
1996-02-29,7.024190476190476,6.278384394937804,0.7458060812526721,Germany,yld_30yr,mlp
1996-03-31,7.222476190476191,6.423512380115153,0.7989638103610375,Germany,yld_30yr,mlp
1996-04-30,7.135181818181818,6.658308294480915,0.4768735237009025,Germany,yld_30yr,mlp
1996-05-31,7.209695652173913,6.550021369186268,0.6596742829876447,Germany,yld_30yr,mlp
1996-06-30,7.318299999999999,6.5484727832903555,0.7698272167096434,Germany,yld_30yr,mlp
1996-07-31,7.1816956521739135,6.49441680391093,0.6872788482629835,Germany,yld_30yr,mlp
1996-08-31,7.041772727272728,6.38414833714461,0.6576243901281185,Germany,yld_30yr,mlp
1996-09-30,7.0167142857142855,6.3078210728436455,0.70889321287064,Germany,yld_30yr,mlp
1996-10-31,6.836739130434783,6.435613600526371,0.40112552990841177,Germany,yld_30yr,mlp
1996-11-30,6.731333333333334,6.258188190377551,0.4731451429557829,Germany,yld_30yr,mlp
1996-12-31,6.695090909090909,6.292140908474699,0.4029500006162099,Germany,yld_30yr,mlp
1997-01-31,6.688869565217391,6.281364391755881,0.4075051734615096,Germany,yld_30yr,mlp
1997-02-28,6.3841,6.346715213177845,0.03738478682215529,Germany,yld_30yr,mlp
1997-03-31,6.575428571428572,6.1388667531794425,0.4365618182491291,Germany,yld_30yr,mlp
