date,actual,predicted,residual,country,tenor,model_type
1999-11-30,13.224,11.612603577650656,1.611396422349344,South Africa,yld_2yr,mlp
1999-12-31,12.586217391304348,11.635360457739022,0.9508569335653263,South Africa,yld_2yr,mlp
2000-01-31,11.918285714285714,11.394833635614441,0.5234520786712729,South Africa,yld_2yr,mlp
2000-02-29,11.901809523809524,11.590030953477777,0.3117785703317466,South Africa,yld_2yr,mlp
2000-03-31,12.173739130434782,10.652600236971704,1.5211388934630783,South Africa,yld_2yr,mlp
2000-04-30,12.184000000000001,10.784479939748007,1.3995200602519944,South Africa,yld_2yr,mlp
2000-05-31,12.601478260869566,11.006393529916856,1.5950847309527099,South Africa,yld_2yr,mlp
2000-06-30,12.315181818181816,11.22145147571189,1.093730342469927,South Africa,yld_2yr,mlp
2000-07-31,11.548333333333332,11.225365988275296,0.3229673450580357,South Africa,yld_2yr,mlp
2000-08-31,11.075782608695652,11.244031684491926,-0.16824907579627357,South Africa,yld_2yr,mlp
2000-09-30,11.232190476190477,11.997188009926699,-0.7649975337362225,South Africa,yld_2yr,mlp
2000-10-31,11.334545454545454,12.108098323098618,-0.7735528685531641,South Africa,yld_2yr,mlp
2000-11-30,11.356363636363637,12.200008806178584,-0.8436451698149465,South Africa,yld_2yr,mlp
2000-12-31,10.872047619047619,12.21123842606594,-1.339190807018321,South Africa,yld_2yr,mlp
2001-01-31,10.586739130434783,11.78117569172293,-1.194436561288148,South Africa,yld_2yr,mlp
2001-02-28,10.37095,11.384965611825423,-1.0140156118254229,South Africa,yld_2yr,mlp
2001-03-31,10.436318181818182,10.820259618041213,-0.3839414362230311,South Africa,yld_2yr,mlp
2001-04-30,10.748571428571429,10.357436400591332,0.3911350279800967,South Africa,yld_2yr,mlp
2001-05-31,10.540217391304349,9.932980406763072,0.6072369845412773,South Africa,yld_2yr,mlp
2001-06-30,10.5,9.290932228187557,1.2090677718124425,South Africa,yld_2yr,mlp
2001-07-31,10.5,8.770830672464372,1.7291693275356277,South Africa,yld_2yr,mlp
2001-08-31,10.5,8.814254685537247,1.6857453144627534,South Africa,yld_2yr,mlp
