date,actual,predicted,residual,country,tenor,model_type
2001-01-31,6.553,6.590054211254962,-0.03705421125496233,South Korea,yld_10yr,mlp
2001-02-28,6.4166,6.757863266880287,-0.3412632668802873,South Korea,yld_10yr,mlp
2001-03-31,6.9899545454545455,6.670635831115466,0.31931871433907943,South Korea,yld_10yr,mlp
2001-04-30,7.810809523809523,7.097742425220695,0.7130670985888274,South Korea,yld_10yr,mlp
2001-05-31,7.6254347826086954,7.498947937288951,0.12648684531974475,South Korea,yld_10yr,mlp
2001-06-30,7.46552380952381,7.450849489940836,0.014674319582973716,South Korea,yld_10yr,mlp
2001-07-31,6.8385,6.99203779421415,-0.15353779421415048,South Korea,yld_10yr,mlp
2001-08-31,6.372304347826087,6.986478390741582,-0.6141740429154954,South Korea,yld_10yr,mlp
2001-09-30,6.161,6.72417380673903,-0.5631738067390302,South Korea,yld_10yr,mlp
2001-10-31,6.546913043478261,6.381467532342075,0.16544551113618589,South Korea,yld_10yr,mlp
2001-11-30,6.759,7.127409269446343,-0.36840926944634234,South Korea,yld_10yr,mlp
2001-12-31,6.972095238095239,6.734682851090288,0.2374123870049507,South Korea,yld_10yr,mlp
2002-01-31,7.24795652173913,7.340936169611682,-0.09297964787255175,South Korea,yld_10yr,mlp
2002-02-28,7.01855,7.258957799793867,-0.24040779979386695,South Korea,yld_10yr,mlp
2002-03-31,7.039761904761905,7.449784545727916,-0.4100226409660115,South Korea,yld_10yr,mlp
2002-04-30,7.2239545454545455,6.909428538228942,0.3145260072256031,South Korea,yld_10yr,mlp
2002-05-31,7.150260869565217,6.94718854253667,0.20307232702854616,South Korea,yld_10yr,mlp
2002-06-30,7.08,6.5419697782675055,0.5380302217324946,South Korea,yld_10yr,mlp
2002-07-31,6.965782608695652,6.489271021667513,0.47651158702813934,South Korea,yld_10yr,mlp
2002-08-31,6.201727272727272,5.857590823243562,0.3441364494837096,South Korea,yld_10yr,mlp
2002-09-30,6.162857142857142,6.00443242967132,0.15842471318582163,South Korea,yld_10yr,mlp
2002-10-31,6.106739130434783,5.781374555677019,0.3253645747577645,South Korea,yld_10yr,mlp
2002-11-30,5.96,5.708100206130524,0.2518997938694758,South Korea,yld_10yr,mlp
2002-12-31,5.788181818181818,5.580505428117707,0.20767639006411098,South Korea,yld_10yr,mlp
2003-01-31,5.424565217391304,5.509429640073358,-0.08486442268205341,South Korea,yld_10yr,mlp
2003-02-28,5.14875,5.156106920107149,-0.0073569201071492785,South Korea,yld_10yr,mlp
2003-03-31,5.190952380952381,5.426174961727298,-0.2352225807749173,South Korea,yld_10yr,mlp
2003-04-30,5.041,5.062379353895938,-0.021379353895937925,South Korea,yld_10yr,mlp
2003-05-31,5.041,4.7850665307033236,0.2559334692966768,South Korea,yld_10yr,mlp
2003-06-30,4.663,4.749120784245568,-0.08612078424556735,South Korea,yld_10yr,mlp
2003-07-31,5.15391304347826,4.9846457316253385,0.16926731185292176,South Korea,yld_10yr,mlp
2003-08-31,5.540666666666667,4.895820685879741,0.6448459807869256,South Korea,yld_10yr,mlp
2003-09-30,4.831681818181818,5.069741188180318,-0.23805936999850008,South Korea,yld_10yr,mlp
2003-10-31,4.850391304347826,5.404093145845879,-0.5537018414980528,South Korea,yld_10yr,mlp
2003-11-30,5.203,5.265829785721532,-0.06282978572153208,South Korea,yld_10yr,mlp
2003-12-31,5.386565217391305,5.291016799626842,0.09554841776446299,South Korea,yld_10yr,mlp
2004-01-31,5.463136363636364,5.157890984256927,0.3052453793794374,South Korea,yld_10yr,mlp
2004-02-29,5.46195,5.724683691755974,-0.26273369175597416,South Korea,yld_10yr,mlp
2004-03-31,5.28695652173913,5.000348494232621,0.28660802750650927,South Korea,yld_10yr,mlp
2004-04-30,5.255318181818182,5.058994073345107,0.1963241084730747,South Korea,yld_10yr,mlp
2004-05-31,5.157190476190476,5.035722548116427,0.1214679280740496,South Korea,yld_10yr,mlp
2004-06-30,5.026,5.080593786206689,-0.05459378620668964,South Korea,yld_10yr,mlp
2004-07-31,4.882227272727272,5.266527603678626,-0.38430033095135396,South Korea,yld_10yr,mlp
2004-08-31,4.326636363636364,5.142932853305306,-0.8162964896689413,South Korea,yld_10yr,mlp
2004-09-30,4.124727272727273,4.844008164784952,-0.7192808920576796,South Korea,yld_10yr,mlp
2004-10-31,4.037285714285714,4.715959037070839,-0.6786733227851247,South Korea,yld_10yr,mlp
2004-11-30,3.955,4.439174291048683,-0.48417429104868326,South Korea,yld_10yr,mlp
2004-12-31,3.8525652173913043,4.3053811439382805,-0.4528159265469762,South Korea,yld_10yr,mlp
2005-01-31,4.4126666666666665,4.373353135982996,0.03931353068367027,South Korea,yld_10yr,mlp
2005-02-28,4.89295,4.251069741613911,0.641880258386089,South Korea,yld_10yr,mlp
2005-03-31,4.770043478260869,4.4751577839623575,0.29488569429851186,South Korea,yld_10yr,mlp
2005-04-30,4.682714285714286,4.2850185808777566,0.3976957048365293,South Korea,yld_10yr,mlp
2005-05-31,4.424727272727273,4.3412863010473846,0.08344097167988807,South Korea,yld_10yr,mlp
2005-06-30,4.4442272727272725,4.291083438606329,0.1531438341209439,South Korea,yld_10yr,mlp
2005-07-31,4.891952380952381,4.345161005396443,0.5467913755559373,South Korea,yld_10yr,mlp
2005-08-31,5.077260869565217,4.200315145523325,0.8769457240418923,South Korea,yld_10yr,mlp
2005-09-30,5.120909090909091,4.2733104358582805,0.8475986550508106,South Korea,yld_10yr,mlp
2005-10-31,5.352047619047619,4.433033022096944,0.9190145969506753,South Korea,yld_10yr,mlp
2005-11-30,5.720181818181818,4.908761181144752,0.8114206370370658,South Korea,yld_10yr,mlp
2005-12-31,5.613227272727273,5.156229259298142,0.45699801342913116,South Korea,yld_10yr,mlp
2006-01-31,5.57,4.798916394398151,0.7710836056018495,South Korea,yld_10yr,mlp
2006-02-28,5.277,5.118909158474289,0.15809084152571096,South Korea,yld_10yr,mlp
2006-03-31,5.410869565217391,5.074215664379855,0.3366539008375362,South Korea,yld_10yr,mlp
2006-04-30,5.448,4.783512663252374,0.6644873367476265,South Korea,yld_10yr,mlp
2006-05-31,5.203043478260869,5.149175292776665,0.05386818548420447,South Korea,yld_10yr,mlp
2006-06-30,5.238181818181818,5.179015962544943,0.059165855636875264,South Korea,yld_10yr,mlp
2006-07-31,5.16047619047619,4.659338065193474,0.5011381252827167,South Korea,yld_10yr,mlp
2006-08-31,4.931739130434783,5.5588002437364,-0.6270611133016164,South Korea,yld_10yr,mlp
2006-09-30,4.886666666666667,5.660075068014437,-0.77340840134777,South Korea,yld_10yr,mlp
2006-10-31,4.782272727272727,5.282796905107094,-0.5005241778343672,South Korea,yld_10yr,mlp
2006-11-30,4.90090909090909,5.6060206679543665,-0.705111577045276,South Korea,yld_10yr,mlp
2006-12-31,4.95,5.636532903356412,-0.6865329033564116,South Korea,yld_10yr,mlp
2007-01-31,5.040434782608696,5.46672843182846,-0.42629364921976354,South Korea,yld_10yr,mlp
2007-02-28,5.000500000000001,5.480272560612523,-0.47977256061252227,South Korea,yld_10yr,mlp
2007-03-31,4.9381818181818184,5.53484540205303,-0.5966635838712113,South Korea,yld_10yr,mlp
2007-04-30,5.07,5.570144376986805,-0.500144376986805,South Korea,yld_10yr,mlp
2007-05-31,5.214347826086956,5.654025441049103,-0.43967761496214663,South Korea,yld_10yr,mlp
2007-06-30,5.4695238095238095,5.567897669211149,-0.09837385968733958,South Korea,yld_10yr,mlp
2007-07-31,5.525454545454545,5.55514165610767,-0.029687110653124904,South Korea,yld_10yr,mlp
2007-08-31,5.413478260869565,5.667270610577896,-0.2537923497083314,South Korea,yld_10yr,mlp
2007-09-30,5.5255,5.279962624594461,0.24553737540553922,South Korea,yld_10yr,mlp
2007-10-31,5.558260869565218,5.813440100342232,-0.25517923077701443,South Korea,yld_10yr,mlp
2007-11-30,5.61090909090909,5.762779420743099,-0.15187032983400872,South Korea,yld_10yr,mlp
2007-12-31,5.8133333333333335,5.547200444642485,0.2661328886908487,South Korea,yld_10yr,mlp
2008-01-31,5.568260869565217,5.822335112021158,-0.2540742424559417,South Korea,yld_10yr,mlp
2008-02-29,5.277142857142857,5.4149059320779145,-0.1377630749350578,South Korea,yld_10yr,mlp
2008-03-31,5.357142857142857,5.246734892480457,0.1104079646624001,South Korea,yld_10yr,mlp
2008-04-30,5.17,5.282757961150484,-0.11275796115048387,South Korea,yld_10yr,mlp
2008-05-31,5.463636363636364,5.456306683578609,0.007329680057754473,South Korea,yld_10yr,mlp
2008-06-30,5.877142857142857,5.431533196939398,0.44560966020345916,South Korea,yld_10yr,mlp
2008-07-31,6.027391304347826,5.702308324441462,0.32508297990636414,South Korea,yld_10yr,mlp
2008-08-31,5.908571428571428,5.680023374057719,0.22854805451370908,South Korea,yld_10yr,mlp
2008-09-30,5.973181818181818,5.51354013363013,0.45964168455168775,South Korea,yld_10yr,mlp
2008-10-31,5.547826086956522,5.163911774498429,0.38391431245809304,South Korea,yld_10yr,mlp
